epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,752.085,1.4222,2.64186,1.40205,0.70833,0.66316,0.67701,0.44615,1.27801,1.28214,1.35301,0.0033315,0.0033315,0.0033315
2,1267.1,1.30511,1.58549,1.29723,0.75383,0.66441,0.72642,0.47589,1.30676,1.24757,1.40253,0.00659885,0.00659885,0.00659885
3,1834.66,1.35422,1.39531,1.32184,0.72067,0.67752,0.70647,0.43974,1.35952,1.31437,1.44764,0.0098002,0.0098002,0.0098002
4,2554.32,1.34439,1.27974,1.32216,0.75933,0.72707,0.74247,0.48199,1.26614,1.11144,1.37414,0.009703,0.009703,0.009703
5,928.194,1.26805,1.13172,1.28076,0.8079,0.75152,0.8067,0.54111,1.20587,0.96578,1.33584,0.009604,0.009604,0.009604
6,770.079,1.1891,1.01059,1.23281,0.83591,0.7985,0.84269,0.57104,1.17082,0.87761,1.30387,0.009505,0.009505,0.009505
7,1152.26,1.19955,0.9942,1.23797,0.8484,0.79299,0.85195,0.59367,1.13408,0.84351,1.27431,0.009406,0.009406,0.009406
8,1718.86,1.17558,0.95377,1.22534,0.86657,0.81698,0.8704,0.61152,1.10256,0.78971,1.24896,0.009307,0.009307,0.009307
9,1926.91,1.15449,0.9236,1.21507,0.86692,0.80612,0.87528,0.62728,1.07992,0.76138,1.2321,0.009208,0.009208,0.009208
10,2125,1.12446,0.88784,1.19585,0.87858,0.8178,0.88427,0.63225,1.06778,0.73795,1.22773,0.009109,0.009109,0.009109
11,2317.7,1.11825,0.86966,1.1882,0.8929,0.8313,0.89559,0.65016,1.04317,0.69156,1.20601,0.00901,0.00901,0.00901
12,2510.22,1.10246,0.85477,1.18191,0.88391,0.84134,0.89472,0.65747,1.01896,0.67559,1.18995,0.008911,0.008911,0.008911
13,2703.29,1.09292,0.83579,1.17486,0.89158,0.84158,0.90163,0.66255,1.01803,0.65718,1.18952,0.008812,0.008812,0.008812
14,2896.55,1.0756,0.82121,1.16781,0.88701,0.84203,0.90304,0.66653,1.00641,0.64851,1.17927,0.008713,0.008713,0.008713
15,3089.9,1.0667,0.80566,1.15758,0.89066,0.85442,0.90989,0.67041,0.99498,0.64333,1.17581,0.008614,0.008614,0.008614
16,3282.02,1.06492,0.79377,1.15943,0.90265,0.8465,0.91202,0.67523,0.98733,0.62756,1.16738,0.008515,0.008515,0.008515
17,3475.58,1.05631,0.78935,1.15453,0.89147,0.86066,0.9141,0.67783,0.98161,0.61434,1.16509,0.008416,0.008416,0.008416
18,3667.6,1.05352,0.77748,1.15255,0.88998,0.86829,0.92158,0.68904,0.9647,0.60516,1.15048,0.008317,0.008317,0.008317
19,3859.65,1.0467,0.76369,1.14538,0.9081,0.86407,0.92189,0.68861,0.96828,0.59168,1.1497,0.008218,0.008218,0.008218
20,4051.4,1.03614,0.76215,1.14191,0.91069,0.86902,0.92342,0.69851,0.95505,0.58078,1.13899,0.008119,0.008119,0.008119
21,4244.14,1.03245,0.76243,1.14134,0.91892,0.85957,0.92509,0.69686,0.95566,0.57805,1.14037,0.00802,0.00802,0.00802
22,4446.97,1.0173,0.7373,1.13053,0.91685,0.87057,0.92634,0.70212,0.94795,0.57765,1.13706,0.007921,0.007921,0.007921
23,4644.68,1.0193,0.73966,1.13104,0.91753,0.87262,0.9267,0.70275,0.94314,0.56782,1.13608,0.007822,0.007822,0.007822
24,4844.45,1.01195,0.73067,1.12455,0.91136,0.86838,0.92373,0.70491,0.94481,0.56778,1.1358,0.007723,0.007723,0.007723
25,5044.22,1.00945,0.72462,1.12581,0.91484,0.87373,0.92782,0.70495,0.94297,0.56179,1.13429,0.007624,0.007624,0.007624
26,5245.57,1.00982,0.72346,1.12601,0.91462,0.87282,0.92632,0.70308,0.94481,0.55896,1.13402,0.007525,0.007525,0.007525
27,5439.38,1.0006,0.71473,1.11826,0.91369,0.87402,0.92655,0.70435,0.94195,0.55661,1.13341,0.007426,0.007426,0.007426
28,5632.3,0.99373,0.70736,1.11427,0.91528,0.8713,0.92777,0.70757,0.9367,0.55262,1.13021,0.007327,0.007327,0.007327
29,5824.76,0.99324,0.70236,1.11645,0.90676,0.8831,0.92681,0.70732,0.93493,0.5497,1.13077,0.007228,0.007228,0.007228
30,6017.42,0.98527,0.69668,1.10825,0.91175,0.8798,0.92874,0.71023,0.93549,0.54741,1.13091,0.007129,0.007129,0.007129
31,6208.69,0.98186,0.69691,1.10995,0.91482,0.87956,0.9307,0.71296,0.93379,0.54474,1.12754,0.00703,0.00703,0.00703
32,6401.18,0.97488,0.68444,1.10675,0.91629,0.87869,0.93193,0.71149,0.93173,0.54148,1.12584,0.006931,0.006931,0.006931
33,6593.05,0.97765,0.68194,1.10529,0.91448,0.88124,0.93165,0.71225,0.92876,0.54127,1.12385,0.006832,0.006832,0.006832
34,6785.34,0.97141,0.68,1.10353,0.91445,0.87919,0.93261,0.71212,0.9262,0.54053,1.1218,0.006733,0.006733,0.006733
35,7012.61,0.96878,0.67169,1.1014,0.91183,0.88523,0.93324,0.71348,0.92593,0.53953,1.1213,0.006634,0.006634,0.006634
36,7211.96,0.96741,0.67166,1.09784,0.91509,0.88424,0.93353,0.71375,0.92521,0.53775,1.12115,0.006535,0.006535,0.006535
37,7405.57,0.96101,0.66498,1.09807,0.91848,0.88224,0.93377,0.71396,0.92354,0.5363,1.12029,0.006436,0.006436,0.006436
38,7617.59,0.96021,0.66456,1.09942,0.9143,0.8833,0.93351,0.71441,0.92237,0.53552,1.11918,0.006337,0.006337,0.006337
39,7812.76,0.95104,0.65726,1.09683,0.90872,0.89006,0.93378,0.71492,0.92077,0.53378,1.11813,0.006238,0.006238,0.006238
40,8006.74,0.95053,0.65488,1.0914,0.91128,0.88824,0.93435,0.71544,0.91982,0.53364,1.11748,0.006139,0.006139,0.006139
41,8201.48,0.95127,0.65145,1.09061,0.90759,0.8909,0.9342,0.71617,0.91941,0.53288,1.11747,0.00604,0.00604,0.00604
42,8397.75,0.94021,0.6441,1.08531,0.90714,0.89147,0.93456,0.71744,0.91866,0.53229,1.11681,0.005941,0.005941,0.005941
43,8593.85,0.94133,0.64512,1.08848,0.91149,0.89093,0.93479,0.71735,0.91807,0.53109,1.1167,0.005842,0.005842,0.005842
44,8789.16,0.9329,0.63856,1.08408,0.90996,0.89212,0.93513,0.71772,0.91815,0.5302,1.11686,0.005743,0.005743,0.005743
45,8985.16,0.93326,0.63391,1.08239,0.9106,0.89263,0.93488,0.7177,0.91815,0.52998,1.11679,0.005644,0.005644,0.005644
46,9180.62,0.93322,0.63685,1.08356,0.91105,0.89028,0.93515,0.71864,0.91765,0.52937,1.11624,0.005545,0.005545,0.005545
47,9374.72,0.93317,0.62749,1.08274,0.91393,0.88588,0.93522,0.71878,0.91725,0.52858,1.11556,0.005446,0.005446,0.005446
48,9570.28,0.9265,0.62173,1.07712,0.9168,0.8862,0.9358,0.71957,0.91683,0.52801,1.11531,0.005347,0.005347,0.005347
49,9765.43,0.92366,0.62117,1.07769,0.91752,0.88705,0.93594,0.72069,0.91622,0.52824,1.11489,0.005248,0.005248,0.005248
50,9961.12,0.92121,0.61858,1.07406,0.91715,0.88671,0.93582,0.72161,0.9159,0.52728,1.11474,0.005149,0.005149,0.005149
51,10157.2,0.91724,0.61807,1.07355,0.92091,0.88473,0.93531,0.7211,0.91578,0.52688,1.11478,0.00505,0.00505,0.00505
52,194.01,0.90547,0.60506,1.06946,0.92244,0.88358,0.93542,0.72129,0.91568,0.52672,1.11461,0.004951,0.004951,0.004951
53,394.232,0.92809,0.61937,1.0769,0.9229,0.88368,0.93534,0.72104,0.9154,0.52622,1.11446,0.004852,0.004852,0.004852
54,594.058,0.9166,0.60983,1.07353,0.92281,0.88521,0.93535,0.72182,0.91526,0.52628,1.1146,0.004753,0.004753,0.004753
55,802.349,0.91376,0.61142,1.07562,0.92099,0.88661,0.93521,0.72106,0.91499,0.52556,1.11432,0.004654,0.004654,0.004654
56,1003.24,0.91309,0.61309,1.07792,0.92171,0.88548,0.9352,0.72072,0.91437,0.52433,1.11428,0.004555,0.004555,0.004555
57,1202.53,0.90608,0.60769,1.07315,0.92379,0.88425,0.93478,0.72132,0.91378,0.52341,1.11374,0.004456,0.004456,0.004456
